Shards,Payload(Bytes),CrossRate,Transacoes,TPS,Latencia(ms)
4,4096,0,100000,249172.00,0.31
4,4096,0.1,100000,193142.00,0.63
4,4096,0.2,100000,219995.00,1.15
4,4096,0.3,100000,159777.00,1.50
4,8192,0,100000,225393.00,0.41
4,8192,0.1,100000,197267.00,0.55
4,8192,0.2,100000,201213.00,1.10
4,8192,0.3,100000,201392.00,1.79
4,16384,0,100000,238681.00,0.46
4,16384,0.1,100000,211975.00,0.68
4,16384,0.2,100000,203907.00,1.09
4,16384,0.3,100000,185445.00,2.23

NOTEBOOK
1,200,0,100000,4233.14,16660.80
