Shards,Payload(Bytes),CrossRate,Transacoes,TPS,Latencia(ms)
4,4096,0.75,1000,1370.18,284.83
4,4096,1.0,1000,2040.29,377.18
1,40,0,1000,1533.94,351.91
1,200,0,1000,1909.55,290.36
1,1024,0,1000,1538.78,355.05
1,4096,0,1000,1816.43,317.74
1,40,0,1000,5365.36,103.29
1,200,0,1000,7327.03,87.05
1,1024,0,1000,7864.30,87.40
1,4096,0,1000,5259.59,125.46
1,40,0,1000,6544.15,104.13
1,200,0,1000,11263.68,52.25
1,1024,0,1000,7107.10,85.76
1,4096,0,1000,4733.09,143.45
2,40,0,1000,7952.24,73.12
2,200,0,1000,11118.86,54.67
2,1024,0,1000,10629.68,55.20
2,4096,0,1000,6587.44,88.18
3,40,0,1000,8040.22,64.60
3,200,0,1000,10379.92,59.70
3,1024,0,1000,8942.01,66.24
3,4096,0,1000,6800.88,85.37
4,40,0,1000,9104.76,66.05
4,200,0,1000,9022.04,56.82
4,1024,0,1000,8653.36,68.62
4,4096,0,1000,7680.59,73.34
1,40,0,1000,6273.49,88.50
1,200,0,1000,6791.02,84.59
1,1024,0,1000,7319.01,88.89
1,4096,0,1000,5847.28,100.84
1,8128,0,1000,4527.91,142.41
1,16348,0,1000,2315.78,276.54
2,40,0,1000,10649.65,55.90
2,200,0,1000,10619.15,48.26
2,1024,0,1000,8258.25,57.75
2,4096,0,1000,6271.26,89.72
2,8128,0,1000,5281.02,112.17
2,16348,0,1000,2953.05,228.65
3,40,0,1000,10825.80,56.23
3,200,0,1000,8635.57,62.87
3,1024,0,1000,9687.25,61.60
3,4096,0,1000,8478.06,79.66
3,8128,0,1000,5723.27,104.27
3,16348,0,1000,3616.96,165.26
4,40,0,1000,9525.58,56.21
4,200,0,1000,9617.26,70.23
4,1024,0,1000,9686.68,68.95
4,4096,0,1000,6940.18,86.75
4,8128,0,1000,5699.64,106.27
4,16348,0,1000,3937.77,146.59
1,40,0,4000,8901.71,333.87
1,200,0,4000,8513.24,320.07
1,1024,0,4000,7964.52,377.61
1,4096,0,4000,6230.92,417.93
1,8128,0,4000,3690.44,707.69
1,16348,0,4000,2374.66,1072.95
2,40,0,4000,9759.86,250.43
2,200,0,4000,12140.59,218.99
2,1024,0,4000,11733.37,208.21
2,4096,0,4000,7808.80,339.06
2,8128,0,4000,5552.30,478.09
2,16348,0,4000,3448.27,707.86
3,40,0,4000,11385.33,237.32
3,200,0,4000,11292.77,194.76
3,1024,0,4000,9111.49,230.54
3,4096,0,4000,7198.48,334.66
3,8128,0,4000,6092.29,398.93
3,16348,0,4000,3347.32,712.51
4,40,0,4000,9360.80,253.48
4,200,0,4000,10951.13,202.67
4,1024,0,4000,10100.15,234.01
4,4096,0,4000,7123.88,335.79
4,8128,0,4000,6002.25,356.48
4,16348,0,4000,3488.04,755.46
1,40,0,4000,9780.32,277.33
1,200,0,4000,11000.61,229.06
1,1024,0,4000,8964.36,291.39
1,4096,0,4000,5059.74,548.78
2,40,0,4000,11301.34,252.25
2,40,0.1,4000,8900.87,278.43
2,40,0.2,4000,8146.99,277.99
2,40,0.3,4000,6360.44,277.77
2,200,0,4000,8642.72,311.41
2,200,0.1,4000,8134.96,337.29
2,200,0.2,4000,8142.32,300.07
2,200,0.3,4000,7219.20,332.76
2,1024,0,4000,11571.28,236.55
2,1024,0.1,4000,8632.79,284.92
2,1024,0.2,4000,7255.67,318.24
2,1024,0.3,4000,7181.75,305.23
2,4096,0,4000,7640.04,328.47
2,4096,0.1,4000,6830.92,366.40
2,4096,0.2,4000,6554.48,341.04
2,4096,0.3,4000,5324.53,379.80
3,40,0,4000,13490.86,186.32
3,40,0.1,4000,10097.39,230.69
3,40,0.2,4000,7794.75,309.89
3,40,0.3,4000,5918.18,385.12
3,200,0,4000,12323.10,213.37
3,200,0.1,4000,9438.04,209.85
3,200,0.2,4000,5586.16,370.42
3,200,0.3,4000,5914.56,371.74
3,1024,0,4000,11985.10,230.71
3,1024,0.1,4000,10553.89,255.25
3,1024,0.2,4000,6389.88,325.30
3,1024,0.3,4000,5110.13,432.02
3,4096,0,4000,8335.16,332.87
